x4911959_how_would_you_rate_your_ability_to_communicate_statistics_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_communicate_in_statistics_to_5_an_indicative_of_highest_ability_to_communicate_in_statistics,x4911960_how_would_you_rate_your_ability_to_communicate_statistics_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_communicate_statistics_and_5_indicates_the_highest_ability_to_communicate_statistics,x4911961_please_explain_your_choice_from_the_previous_question,x4911962_how_would_you_rate_your_ability_to_use_r_statistical_software_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_use_to_5_an_indicative_of_highest_ability_to_use,x4911963_how_would_you_rate_your_ability_to_use_r_statistical_software_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_use_r_and_5_indicates_the_highest_ability_to_use_r,x4911964_please_explain_your_choice_from_the_previous_question,x4911996_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_completing_its_weekly_assignment_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911966_please_explain_your_choice_from_the_previous_question,x4911965_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_participating_in_its_weekly_tutorial_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911999_please_explain_your_choice_from_the_previous_question,x4912006_how_much_attention_did_you_pay_to_ta_feedback_on_your_worksheet_and_on_your_assignment,x4912033_to_what_extent_do_you_agree_with_the_following_statement_the_statistical_examples_illustrated_in_this_course_helped_me_recognize_the_usefulness_relevance_and_value_of_learning_about_and_doing_statistics,x4912034_please_explain_your_choice_from_the_previous_question,x4912046_to_what_extent_do_you_agree_with_the_following_statement_the_infographic_assignment_improved_my_ability_to_communicate_the_ability_to_read_interpret_and_discuss_statistical_informationclearly_and_effectively,x4912035_please_explain_your_choice_from_the_previous_question,x4912152_think_about_your_overall_experience_working_collaboratively_with_other_students_in_this_course_on_the_infographic_assignment_what_aspects_of_this_assignment_did_you_enjoy_working_on_what_challenges_did_you_encounter_and_how_did_you_resolve_them_what_advice_would_you_give_to_future_students_who_will_be_working_on_a_collaborative_assignment_in_a_statistics_course,x4912177_how_has_this_course_contributed_to_your_understanding_of_the_subject_of_statistics_and_how_would_you_describe_your_overall_learning_experience
3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Most of it was high school review but there were some neat proofs of formulas that were useful to keep them memorised,1,4,Never used R studio before most of it seems similar to python but there are some things i mix up every now and then,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,NA,3,3,NA,3,NA,3,NA,I read the comments.,Agree,NA,NA,NA,NA,NA
4,2,"I can't really follow in the course, but under the help of the GOATED TA Dylan, I'm able to understand most of the material in the course.",1,2,"I know nothing about R before the course, but the R material in the course is a bit overwhelming so I'm not able to learn too much about R.",2,"The weekly assignment does not go in depth of the statistical concepts, instead it only tested our interpretation of the plots and graphs.",4,The weekly tutorial actually taught us the application of the statistical concepts that we've learned in the course.,I read the comments.,Neither agree nor disagree,"Some of the examples do illustrate the usefulness of the statistical concepts, but most of the examples are hard to understand.",Neither agree nor disagree,"The assignment mostly focused on the communication part, which I don't really see too much point in it.",NA,"Overall speaking, it does not help too much"
4,4,It’s good but not the best. I sometimes communicate with my friends. Although we don’t talk much but the quality of our communication is high.,4,4,"I know how to use it, but I can barely write the code by my self.",4,"I’m not very sure about it, because most of the formula or concept we learned I’ve already learned in high school",5,I can use them to solve problems in tut.,I read the comments.,Agree,NA,NA,NA,NA,NA
4,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,"Based on the interpretive statements at the end of worksheets and the infographic assignment, it was important to look beyond the numbers",2,4,I only used it in a couple classes before but this course allowed me to play around with probability distributions ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
